episode ,mean     ,max
 625000 ,92206.7  ,178776
 626000 ,92308    ,176500
 627000 ,93032.5  ,177724
 628000 ,91049.2  ,173100
 629000 ,92531.3  ,175624
 630000 ,94373.2  ,177584
 631000 ,93535.1  ,175876
 632000 ,90647.9  ,173812
 633000 ,94615    ,175288
 634000 ,93518.1  ,176496
 635000 ,91859.8  ,173244
 636000 ,89372    ,215096
 637000 ,92424.2  ,177240
 638000 ,93115.1  ,176184
 639000 ,95814.8  ,177536
 640000 ,91759.1  ,171488
 641000 ,91840.9  ,173244
 642000 ,94302.9  ,173984
 643000 ,91752.3  ,175940
 644000 ,88848.7  ,173324
 645000 ,93960.4  ,226524
 646000 ,93817.4  ,175616
 647000 ,94336    ,172436
 648000 ,93192.6  ,177308
 649000 ,94585.1  ,178096
 650000 ,95915.9  ,176384
 651000 ,93445.4  ,168248
 652000 ,92500.9  ,178620
 653000 ,93602.2  ,219204
 654000 ,95152.9  ,177408
 655000 ,95219.8  ,178104
 656000 ,93285.4  ,175176
 657000 ,92318.7  ,174824
 658000 ,94764.2  ,177204
 659000 ,94492.6  ,176452
 660000 ,94862.9  ,173048
 661000 ,92100.3  ,176700
 662000 ,95000.3  ,175792
 663000 ,94059.3  ,227664
 664000 ,94294.7  ,173192
 665000 ,94742    ,175296
 666000 ,91081.5  ,172812
 667000 ,96926.2  ,175788
 668000 ,93176.4  ,177148
 669000 ,93680.6  ,172372
 670000 ,95820    ,167956
 671000 ,93913.4  ,176360
 672000 ,95381.2  ,178380
 673000 ,91120.7  ,176392
 674000 ,93184.2  ,177584
 675000 ,94787.9  ,235244
 676000 ,93106.9  ,171924
 677000 ,93324.3  ,177020
 678000 ,93805.4  ,177008
 679000 ,91995.6  ,175444
 680000 ,91117.1  ,174668
 681000 ,94389.8  ,175316
 682000 ,94977.1  ,174632
 683000 ,95135.4  ,176832
 684000 ,95543.9  ,174736
 685000 ,94072.3  ,175208
 686000 ,91027.9  ,174112
 687000 ,93165.6  ,175512
 688000 ,93113.9  ,176356
 689000 ,92053.7  ,174760
 690000 ,93622.3  ,171580
 691000 ,94608.3  ,174824
 692000 ,94254.7  ,175220
 693000 ,90971.9  ,175452
 694000 ,94078.6  ,175592
 695000 ,93454.7  ,175524
 696000 ,94152.1  ,173292
 697000 ,95683.2  ,178376
 698000 ,92388    ,175288
 699000 ,94755.1  ,177432
 700000 ,95036.5  ,174948
 701000 ,95110.4  ,173388
 702000 ,91937.9  ,175648
 703000 ,93710.8  ,177116
 704000 ,95900.7  ,174740
 705000 ,94234.1  ,176920
 706000 ,92482.8  ,170932
 707000 ,94102.6  ,176416
 708000 ,98294.6  ,174480
 709000 ,94270.3  ,175068
 710000 ,93345.7  ,169140
 711000 ,94266.9  ,173508
 712000 ,95355.4  ,176372
